================================================================
  GUI analysis: 3k_shapes_dynamic   (total weight: 24409227024)
================================================================

-- 1. CPU by subsystem (leaf-frame classification) --
    33.9%  gz-rendering: scene store/PreRender
    20.7%  other
    11.2%  C++ alloc/refcount/memops
    10.8%  Ogre: scene-graph transforms
     6.4%  Ogre: other render
     4.1%  gz-sim: RenderUtil/SceneManager
     3.6%  Ogre: culling/frustum
     2.9%  GPU driver (Mesa/Intel)
     1.7%  Ogre: forward+ lighting
     1.4%  [unknown]
     1.2%  Qt Quick scene-graph
     1.1%  Qt (core/gui)
     0.7%  kernel/sync/idle
     0.2%  gz-sim: ECM state sync
     0.1%  gz-transport
     0.1%  gz-gui: render loop

-- 2. Top 15 self-time leaves --
    9.01%  gz::rendering::v11::Ogre2Node::Children
    6.11%  gz::rendering::v11::BaseVisual::PreRenderChildren
    5.34%  __gnu_cxx::__atomic_add
    4.61%  std::_Hashtable<unsigned long, std::pair, std::allocator, std::__detail::_Select1st, std::equal_to, std::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits >::find
    4.58%  long const& std::min
    4.30%  Ogre::Node::updateAllTransforms
    3.41%  Ogre::Node::updateFromParentImpl
    2.79%  [libnvidia-glcore.so.580.159.03]
    2.76%  __cxxabiv1::__vmi_class_type_info::__do_dyncast
    2.63%  gz::sim::v11::SceneManager::NodeById
    2.44%  std::__shared_ptr<gz::rendering::v11::Node,
    2.42%  std::__shared_ptr<gz::rendering::v11::Store,
    2.27%  __dynamic_cast
    1.59%  Ogre::ForwardClustered::collectLightForSlice
    1.58%  __gnu_cxx::__exchange_and_add_dispatch

-- 3. Gazebo-owned functions by inclusive time (optimizable) --
   87.24%  gz::gui::plugins::RenderThread::RenderNext
   86.46%  gz::gui::plugins::RenderThreadRhiOpenGL::RenderNext
   86.19%  gz::gui::plugins::GzRenderer::Render
   58.83%  gz::rendering::v11::BaseCamera::Update
   41.45%  gz::rendering::v11::Ogre2Scene::PreRender
   36.51%  gz::rendering::v11::BaseScene::PreRender
   36.50%  gz::rendering::v11::BaseVisual::PreRenderChildren
   36.50%  gz::rendering::v11::BaseVisual::PreRender
   36.50%  gz::rendering::v11::BaseNode::PreRender
   35.76%  thunk to gz::rendering::v11::BaseVisual::PreRender
   27.05%  gz::sim::v11::RenderUtil::Update
   27.05%  gz::sim::v11::GzSceneManager::eventFilter
   17.23%  gz::rendering::v11::Ogre2RenderTarget::Render
   16.28%  gz::rendering::v11::BaseVisual::PreRenderGeometries
   10.19%  gz::rendering::v11::BaseMesh::PreRender
