================================================================
  GUI analysis: 3k_shapes_static   (total weight: 31338013196)
================================================================

-- 1. CPU by subsystem (leaf-frame classification) --
    37.3%  gz-rendering: scene store/PreRender
    24.1%  other
     9.3%  C++ alloc/refcount/memops
     7.2%  Ogre: scene-graph transforms
     6.0%  Ogre: other render
     5.6%  gz-sim: RenderUtil/SceneManager
     2.8%  GPU driver (Mesa/Intel)
     2.1%  Ogre: culling/frustum
     1.4%  [unknown]
     1.2%  Qt Quick scene-graph
     1.1%  Ogre: forward+ lighting
     1.1%  Qt (core/gui)
     0.7%  kernel/sync/idle
     0.1%  gz-gui: render loop
     0.1%  gz-transport
     0.1%  gz-sim: ECM state sync

-- 2. Top 15 self-time leaves --
    8.52%  gz::rendering::v11::Ogre2Node::Children
    7.06%  std::_Hashtable<unsigned long, std::pair, std::allocator, std::__detail::_Select1st, std::equal_to, std::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits >::find
    6.52%  gz::rendering::v11::BaseVisual::PreRenderChildren
    6.33%  long const& std::min
    4.46%  __gnu_cxx::__atomic_add
    4.37%  std::__shared_ptr<gz::rendering::v11::Node,
    4.13%  __cxxabiv1::__vmi_class_type_info::__do_dyncast
    3.00%  gz::sim::v11::SceneManager::NodeById
    2.80%  std::__shared_ptr<gz::rendering::v11::Store,
    2.71%  [libnvidia-glcore.so.580.159.03]
    2.30%  gz::sim::v11::RenderUtil::Update
    2.11%  __dynamic_cast
    1.89%  Ogre::Node::updateAllTransforms
    1.84%  Ogre::Node::updateFromParentImpl
    1.78%  Ogre::Node::getScale

-- 3. Gazebo-owned functions by inclusive time (optimizable) --
   88.70%  gz::gui::plugins::RenderThread::RenderNext
   87.95%  gz::gui::plugins::RenderThreadRhiOpenGL::RenderNext
   87.69%  gz::gui::plugins::GzRenderer::Render
   48.74%  gz::rendering::v11::BaseCamera::Update
   38.65%  gz::sim::v11::RenderUtil::Update
   38.64%  gz::sim::v11::GzSceneManager::eventFilter
   35.73%  gz::rendering::v11::Ogre2Scene::PreRender
   33.23%  gz::rendering::v11::BaseScene::PreRender
   33.22%  gz::rendering::v11::BaseVisual::PreRender
   33.22%  gz::rendering::v11::BaseNode::PreRender
   33.22%  gz::rendering::v11::BaseVisual::PreRenderChildren
   32.58%  thunk to gz::rendering::v11::BaseVisual::PreRender
   14.63%  gz::sim::v11::SceneManager::NodeById
   13.33%  gz::rendering::v11::BaseVisual::PreRenderGeometries
   12.83%  gz::rendering::v11::Ogre2RenderTarget::Render
