================================================================
  GUI analysis: jetty   (total weight: 14636910337)
================================================================

-- 1. CPU by subsystem (leaf-frame classification) --
    23.6%  other
    20.9%  Ogre: other render
     9.7%  Ogre: forward+ lighting
     7.9%  gz-rendering: scene store/PreRender
     7.8%  GPU driver (Mesa/Intel)
     7.6%  Ogre: scene-graph transforms
     5.4%  C++ alloc/refcount/memops
     4.2%  Ogre: culling/frustum
     4.0%  [unknown]
     3.1%  kernel/sync/idle
     2.2%  Qt Quick scene-graph
     2.1%  Qt (core/gui)
     0.8%  gz-sim: RenderUtil/SceneManager
     0.3%  gz-sim: ECM state sync
     0.2%  gz-transport
     0.1%  gz-gui: render loop

-- 2. Top 15 self-time leaves --
    9.65%  Ogre::ForwardClustered::collectLightForSlice
    8.17%  lll_mutex_unlock_optimized
    7.70%  Ogre::RenderQueue::renderGL3
    7.63%  [libnvidia-glcore.so.580.159.03]
    4.32%  Ogre::Node::updateFromParentImpl
    4.02%  [unknown]
    2.83%  Ogre::RenderQueue::addRenderableV2
    2.41%  Ogre::HlmsPbsDatablock::getCubemapProbe
    2.06%  [libOgreNextMain.so.2.3.1]
    1.79%  Ogre::HlmsPbs::fillBuffersForV2
    1.55%  Ogre::Node::_getDerivedOrientationUpdated
    1.46%  ___pthread_mutex_unlock
    1.43%  Ogre::Frustum::updateFrustumPlanesImpl
    1.40%  gz::rendering::v11::Ogre2Material::UpdateShaderParams
    1.32%  __gnu_cxx::__atomic_add

-- 3. Gazebo-owned functions by inclusive time (optimizable) --
   74.80%  gz::gui::plugins::RenderThread::RenderNext
   73.81%  gz::gui::plugins::RenderThreadRhiOpenGL::RenderNext
   73.28%  gz::gui::plugins::GzRenderer::Render
   67.88%  gz::rendering::v11::BaseCamera::Update
   57.77%  gz::rendering::v11::Ogre2RenderTarget::Render
    9.93%  gz::rendering::v11::Ogre2Scene::PreRender
    9.26%  gz::rendering::v11::BaseScene::PreRender
    9.24%  gz::rendering::v11::BaseVisual::PreRender
    9.22%  gz::rendering::v11::BaseNode::PreRender
    9.22%  gz::rendering::v11::BaseVisual::PreRenderChildren
    9.01%  thunk to gz::rendering::v11::BaseVisual::PreRender
    7.24%  gz::sim::v11::GuiRunner::OnStateQt
    6.71%  gz::rendering::v11::BaseVisual::PreRenderGeometries
    5.88%  gz::sim::v11::GuiRunner::UpdatePlugins
    5.61%  gz::rendering::v11::BaseMesh::PreRender
