cfg	world	steps_per_s	RTF	diter	dreal
base-r1	3k_shapes_static	242.0	0.242	4978	20.57
base-r1	3k_shapes	14.5	0.015	300	20.63
base-r1	sensors	49443.2	49.443	1016996	20.57
base-r1	jetty	497.3	1.989	10230	20.57
base-r1	moving_robots_and_sensors	1837.8	1.838	37808	20.57
pr1-r1	3k_shapes_static	260.5	0.261	5360	20.57
pr1-r1	3k_shapes	14.6	0.015	300	20.57
pr1-r1	sensors	51393.4	51.393	1057029	20.57
pr1-r1	jetty	499.5	1.998	10274	20.57
pr1-r1	moving_robots_and_sensors	1838.7	1.839	37824	20.57
pr12-r1	3k_shapes_static	463.2	0.463	9528	20.57
pr12-r1	3k_shapes	14.8	0.015	305	20.57
pr12-r1	sensors	52031.5	52.032	1070235	20.57
pr12-r1	jetty	508.1	2.032	10451	20.57
pr12-r1	moving_robots_and_sensors	1832.6	1.833	37695	20.57
base-r2	3k_shapes_static	266.5	0.266	5482	20.57
base-r2	3k_shapes	14.6	0.015	302	20.62
base-r2	sensors	50015.6	50.016	1028838	20.57
base-r2	jetty	502.0	2.008	10328	20.57
base-r2	moving_robots_and_sensors	1828.1	1.828	37608	20.57
pr1-r2	3k_shapes_static	260.7	0.261	5364	20.58
pr1-r2	3k_shapes	14.7	0.015	303	20.64
pr1-r2	sensors	51723.5	51.724	1064008	20.57
pr1-r2	jetty	504.1	2.016	10369	20.57
pr1-r2	moving_robots_and_sensors	1866.3	1.866	38406	20.58
pr12-r2	3k_shapes_static	461.2	0.461	9488	20.57
pr12-r2	3k_shapes	14.8	0.015	305	20.59
pr12-r2	sensors	51932.5	51.932	1068253	20.57
pr12-r2	jetty	505.6	2.022	10402	20.57
pr12-r2	moving_robots_and_sensors	1848.2	1.848	38019	20.57
base-r1	gpu_lidar_sensor	39328.6	39.329	809051	20.57
base-r1	sensors_demo	3478.4	3.478	71551	20.57
